"","h2o.coef(glm_model)"
"ecm-r:zm-r_distance",0
"ecm-l:zm-r_distance",0
"zy-r:zm-r_distance",0
"zy-l:zm-r_distance",0
"mo-r:zm-r_distance",0
"mo-l:zm-r_distance",0
"ft-r:zm-r_distance",0
"ft-l:zm-r_distance",0
"ms-r:zm-r_distance",0
"ms-l:zm-r_distance",0
"po-r:zm-r_distance",0
"po-l:zm-r_distance",0
"au-r:zm-r_distance",0
"au-l:zm-r_distance",0
"a:zm-r_distance",0
"g:zm-l_distance",0
"n:zm-l_distance",0
"ale:zm-l_distance",0
"rhi:zm-l_distance",0
"fmo-r:zm-l_distance",0
"fmo-l:zm-l_distance",0
"ec-l:zm-l_distance",0
"ec-r:zm-l_distance",0
"mso-r:zm-l_distance",0
"mso-l:zm-l_distance",0
"or-r:zm-l_distance",0
"or-l:zm-l_distance",0
"mio-r:zm-l_distance",0
"mio-l:zm-l_distance",0
"al-r:zm-l_distance",0
"al-l:zm-l_distance",0
"pr:zm-l_distance",0
"ss:zm-l_distance",0
"ns:zm-l_distance",0
"mp:zm-l_distance",0
"ecm-r:zm-l_distance",0
"ecm-l:zm-l_distance",0
"zy-r:zm-l_distance",0
"zy-l:zm-l_distance",0
"mo-r:zm-l_distance",0
"mo-l:zm-l_distance",0
"ft-r:zm-l_distance",0
"ft-l:zm-l_distance",0
"ms-r:zm-l_distance",0
"ms-l:zm-l_distance",0
"po-r:zm-l_distance",0
"po-l:zm-l_distance",0
"au-r:zm-l_distance",0
"au-l:zm-l_distance",0
"a:zm-l_distance",0
"zm-r:zm-l_distance",0
"g:cr-l_distance",0
"n:cr-l_distance",0
"ale:cr-l_distance",0
"rhi:cr-l_distance",0
"fmo-r:cr-l_distance",0
"fmo-l:cr-l_distance",0
"ec-l:cr-l_distance",0
"ec-r:cr-l_distance",0
"mso-r:cr-l_distance",0
"mso-l:cr-l_distance",0
"or-r:cr-l_distance",0
"or-l:cr-l_distance",0
"mio-r:cr-l_distance",0
"mio-l:cr-l_distance",0
"al-r:cr-l_distance",0
"al-l:cr-l_distance",0
"pr:cr-l_distance",0
"ss:cr-l_distance",0
"ns:cr-l_distance",0
"mp:cr-l_distance",0
"ecm-r:cr-l_distance",0
"ecm-l:cr-l_distance",0
"zy-r:cr-l_distance",0
"zy-l:cr-l_distance",0
"mo-r:cr-l_distance",0
"mo-l:cr-l_distance",0
"ft-r:cr-l_distance",0
"ft-l:cr-l_distance",0
"ms-r:cr-l_distance",0
"ms-l:cr-l_distance",0
"po-r:cr-l_distance",0
"po-l:cr-l_distance",0
"au-r:cr-l_distance",0
"au-l:cr-l_distance",0
"a:cr-l_distance",0
"zm-r:cr-l_distance",0
"zm-l:cr-l_distance",0
"g:cr-r_distance",0
"n:cr-r_distance",0
"ale:cr-r_distance",0
"rhi:cr-r_distance",0
"fmo-r:cr-r_distance",0
"fmo-l:cr-r_distance",0
"ec-l:cr-r_distance",0
"ec-r:cr-r_distance",0
"mso-r:cr-r_distance",0
"mso-l:cr-r_distance",0
"or-r:cr-r_distance",0
"or-l:cr-r_distance",0
"mio-r:cr-r_distance",0
"mio-l:cr-r_distance",0
"al-r:cr-r_distance",0
"al-l:cr-r_distance",0
"pr:cr-r_distance",0
"ss:cr-r_distance",0
"ns:cr-r_distance",0
"mp:cr-r_distance",0
"ecm-r:cr-r_distance",0
"ecm-l:cr-r_distance",0
"zy-r:cr-r_distance",0
"zy-l:cr-r_distance",0
"mo-r:cr-r_distance",0
"mo-l:cr-r_distance",0
"ft-r:cr-r_distance",0
"ft-l:cr-r_distance",0
"ms-r:cr-r_distance",0
"ms-l:cr-r_distance",0
"po-r:cr-r_distance",0
"po-l:cr-r_distance",0
"au-r:cr-r_distance",0
"au-l:cr-r_distance",0
"a:cr-r_distance",0
"zm-r:cr-r_distance",0
"zm-l:cr-r_distance",0
"cr-l:cr-r_distance",0
"g:cdl-r_distance",0
"n:cdl-r_distance",0
"ale:cdl-r_distance",0
"rhi:cdl-r_distance",0
"fmo-r:cdl-r_distance",0
"fmo-l:cdl-r_distance",0
"ec-l:cdl-r_distance",0
"ec-r:cdl-r_distance",0
"mso-r:cdl-r_distance",0
"mso-l:cdl-r_distance",0
"or-r:cdl-r_distance",0
"or-l:cdl-r_distance",0
"mio-r:cdl-r_distance",0
"mio-l:cdl-r_distance",0
"al-r:cdl-r_distance",0
"al-l:cdl-r_distance",0
"pr:cdl-r_distance",0
"ss:cdl-r_distance",0
"ns:cdl-r_distance",0
"mp:cdl-r_distance",0
"ecm-r:cdl-r_distance",0
"ecm-l:cdl-r_distance",0
"zy-r:cdl-r_distance",0
"zy-l:cdl-r_distance",0
"mo-r:cdl-r_distance",0
"mo-l:cdl-r_distance",0
"ft-r:cdl-r_distance",0
"ft-l:cdl-r_distance",0
"ms-r:cdl-r_distance",0
"ms-l:cdl-r_distance",0
"po-r:cdl-r_distance",0
"po-l:cdl-r_distance",0
"au-r:cdl-r_distance",0
"au-l:cdl-r_distance",0
"a:cdl-r_distance",0
"zm-r:cdl-r_distance",0
"zm-l:cdl-r_distance",0
"cr-l:cdl-r_distance",0
"cr-r:cdl-r_distance",0
"g:cdl-l_distance",0
"n:cdl-l_distance",0
"ale:cdl-l_distance",0
"rhi:cdl-l_distance",0
"fmo-r:cdl-l_distance",0
"fmo-l:cdl-l_distance",0
"ec-l:cdl-l_distance",0
"ec-r:cdl-l_distance",0
"mso-r:cdl-l_distance",0
"mso-l:cdl-l_distance",0
"or-r:cdl-l_distance",0
"or-l:cdl-l_distance",0
"mio-r:cdl-l_distance",0
"mio-l:cdl-l_distance",0
"al-r:cdl-l_distance",0
"al-l:cdl-l_distance",0
"pr:cdl-l_distance",0
"ss:cdl-l_distance",0
"ns:cdl-l_distance",0
"mp:cdl-l_distance",0
"ecm-r:cdl-l_distance",0
"ecm-l:cdl-l_distance",0
"zy-r:cdl-l_distance",0
"zy-l:cdl-l_distance",0
"mo-r:cdl-l_distance",0
"mo-l:cdl-l_distance",0
"ft-r:cdl-l_distance",0
"ft-l:cdl-l_distance",0
"ms-r:cdl-l_distance",0
"ms-l:cdl-l_distance",0
"po-r:cdl-l_distance",0
"po-l:cdl-l_distance",0
"au-r:cdl-l_distance",0
"au-l:cdl-l_distance",0
"a:cdl-l_distance",0
"zm-r:cdl-l_distance",0
"zm-l:cdl-l_distance",0
"cr-l:cdl-l_distance",0
"cr-r:cdl-l_distance",0
"cdl-r:cdl-l_distance",0
"g:fmt-r_distance",0
"n:fmt-r_distance",0
"ale:fmt-r_distance",0
"rhi:fmt-r_distance",0
"fmo-r:fmt-r_distance",0
"fmo-l:fmt-r_distance",0
"ec-l:fmt-r_distance",0
"ec-r:fmt-r_distance",0
"mso-r:fmt-r_distance",0
"mso-l:fmt-r_distance",0
"or-r:fmt-r_distance",0
"or-l:fmt-r_distance",0
"mio-r:fmt-r_distance",0
"mio-l:fmt-r_distance",0
"al-r:fmt-r_distance",0
"al-l:fmt-r_distance",0
"pr:fmt-r_distance",0
"ss:fmt-r_distance",0
"ns:fmt-r_distance",0
"mp:fmt-r_distance",0
"ecm-r:fmt-r_distance",0
"ecm-l:fmt-r_distance",0
"zy-r:fmt-r_distance",0
"zy-l:fmt-r_distance",0
"mo-r:fmt-r_distance",0
"mo-l:fmt-r_distance",0
"ft-r:fmt-r_distance",0
"ft-l:fmt-r_distance",0
"ms-r:fmt-r_distance",0
"ms-l:fmt-r_distance",0
"po-r:fmt-r_distance",0
"po-l:fmt-r_distance",0
"au-r:fmt-r_distance",0
"au-l:fmt-r_distance",0
"a:fmt-r_distance",0
"zm-r:fmt-r_distance",0
"zm-l:fmt-r_distance",0
"cr-l:fmt-r_distance",0
"cr-r:fmt-r_distance",0
"cdl-r:fmt-r_distance",0
"cdl-l:fmt-r_distance",0
"g:fmt-l_distance",0
"n:fmt-l_distance",0
"ale:fmt-l_distance",0
"rhi:fmt-l_distance",0
"fmo-r:fmt-l_distance",0
"fmo-l:fmt-l_distance",0
"ec-l:fmt-l_distance",0
"ec-r:fmt-l_distance",0
"mso-r:fmt-l_distance",0
"mso-l:fmt-l_distance",0
"or-r:fmt-l_distance",0
"or-l:fmt-l_distance",0
"mio-r:fmt-l_distance",0
"mio-l:fmt-l_distance",0
"al-r:fmt-l_distance",0
"al-l:fmt-l_distance",0
"pr:fmt-l_distance",0
"ss:fmt-l_distance",0
"ns:fmt-l_distance",0
"mp:fmt-l_distance",0
"ecm-r:fmt-l_distance",0
"ecm-l:fmt-l_distance",0
"zy-r:fmt-l_distance",0
"zy-l:fmt-l_distance",0
"mo-r:fmt-l_distance",0
"mo-l:fmt-l_distance",0
"ft-r:fmt-l_distance",0
"ft-l:fmt-l_distance",0
"ms-r:fmt-l_distance",0
"ms-l:fmt-l_distance",0
"po-r:fmt-l_distance",0
"po-l:fmt-l_distance",0
"au-r:fmt-l_distance",0
"au-l:fmt-l_distance",0
"a:fmt-l_distance",0
"zm-r:fmt-l_distance",0
"zm-l:fmt-l_distance",0
"cr-l:fmt-l_distance",0
"cr-r:fmt-l_distance",0
"cdl-r:fmt-l_distance",0
"cdl-l:fmt-l_distance",0
"fmt-r:fmt-l_distance",0
"g:ju-r_distance",0
"n:ju-r_distance",0
"ale:ju-r_distance",0
"rhi:ju-r_distance",0
"fmo-r:ju-r_distance",0
"fmo-l:ju-r_distance",0
"ec-l:ju-r_distance",0
"ec-r:ju-r_distance",0
"mso-r:ju-r_distance",0
"mso-l:ju-r_distance",0
"or-r:ju-r_distance",0
"or-l:ju-r_distance",0
"mio-r:ju-r_distance",0
"mio-l:ju-r_distance",0
"al-r:ju-r_distance",0
"al-l:ju-r_distance",0
"pr:ju-r_distance",0
"ss:ju-r_distance",0
"ns:ju-r_distance",0
"mp:ju-r_distance",0
